case_id,protein_id,ligand_id,ligand_ccd_code,model,msa_source,msa_path,status,error_message
98112310b4bc,B6EQB6,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
b805c65dfc62,B6EQB6,L004,CEL4,af3,native,,pending,
1f04ecfc07b8,B6EQB6,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
ece729f8aee4,B6EQB6,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
22fda69669a1,B6EQB6,L005,CEL6,af3,native,,pending,
1990291bb2e4,B6EQB6,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
803cbe3cc6f8,B6EQB6,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
8c5e8b158b9e,B6EQB6,L006,CEL8,af3,native,,pending,
329ea9ee0b4b,B6EQB6,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
8c1bbfcd9361,B6EQB6,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
e15789c3a672,B6EQB6,L007,NAG4,af3,native,,pending,
de824d4dfd7e,B6EQB6,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
bdebd8911a22,B6EQB6,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
608a2448f4d0,B6EQB6,L008,NAG6,af3,native,,pending,
6c7b47d3eca6,B6EQB6,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
536792546446,B6EQB6,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
fc601fff282a,B6EQB6,L009,NAG8,af3,native,,pending,
a95abf7af456,B6EQB6,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
257f36ce7792,B6EQB6,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
0a46962bccd6,A0A7D5JVI4,L001,STA4,af3,native,,pending,
f119ff45fdfe,A0A7D5JVI4,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
f719031868af,A0A7D5JVI4,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
a85d60e65cd2,A0A7D5JVI4,L002,STA6,af3,native,,pending,
d1cefa1caa1e,A0A7D5JVI4,L002,STA6,boltz,mmseqs,,skipped,Missing MSA
ff4dc762276a,A0A7D5JVI4,L002,STA6,rf3,mmseqs,,skipped,Missing MSA
3c258de70faf,A0A7D5JVI4,L003,STA8,af3,native,,pending,
7d2a813a7b14,A0A7D5JVI4,L003,STA8,boltz,mmseqs,,skipped,Missing MSA
0d305b3774e5,A0A7D5JVI4,L003,STA8,rf3,mmseqs,,skipped,Missing MSA
2e63608bf2b6,A0A7D5JVI4,L004,CEL4,af3,native,,pending,
5a1416afb6fc,A0A7D5JVI4,L004,CEL4,boltz,mmseqs,,skipped,Missing MSA
cb28c8ab0f9f,A0A7D5JVI4,L004,CEL4,rf3,mmseqs,,skipped,Missing MSA
dae93f580a21,A0A7D5JVI4,L005,CEL6,af3,native,,pending,
25a55a3c82ce,A0A7D5JVI4,L005,CEL6,boltz,mmseqs,,skipped,Missing MSA
3e82279bcab2,A0A7D5JVI4,L005,CEL6,rf3,mmseqs,,skipped,Missing MSA
fb001b7a3b7d,A0A7D5JVI4,L006,CEL8,af3,native,,pending,
8a01522fb173,A0A7D5JVI4,L006,CEL8,boltz,mmseqs,,skipped,Missing MSA
78113b884b5f,A0A7D5JVI4,L006,CEL8,rf3,mmseqs,,skipped,Missing MSA
7ba4a429c636,A0A7D5JVI4,L007,NAG4,af3,native,,pending,
355278c6a785,A0A7D5JVI4,L007,NAG4,boltz,mmseqs,,skipped,Missing MSA
d519603e6a2e,A0A7D5JVI4,L007,NAG4,rf3,mmseqs,,skipped,Missing MSA
900831ac8a81,A0A7D5JVI4,L008,NAG6,af3,native,,pending,
bf4b7fca30d1,A0A7D5JVI4,L008,NAG6,boltz,mmseqs,,skipped,Missing MSA
23d36c37bbeb,A0A7D5JVI4,L008,NAG6,rf3,mmseqs,,skipped,Missing MSA
9fe7e5eafe6a,A0A7D5JVI4,L009,NAG8,af3,native,,pending,
06e4dbd8730e,A0A7D5JVI4,L009,NAG8,boltz,mmseqs,,skipped,Missing MSA
08ed0bd03556,A0A7D5JVI4,L009,NAG8,rf3,mmseqs,,skipped,Missing MSA
ce763e31031d,C7R4I0,L001,STA4,af3,native,,pending,
434f80da34eb,C7R4I0,L001,STA4,boltz,mmseqs,,skipped,Missing MSA
40d26e4bb010,C7R4I0,L001,STA4,rf3,mmseqs,,skipped,Missing MSA
